GlobalId,IfcClass,Name,Tag
1gtrSK5QnDuxDwygd0EDGO,IfcMember,Stair:Residential - 200mm Max Riser 250mm Tread:151086:1,151086
34qUFGjJzFKwVWpXe2dTPt,IfcMember,Stair:Residential - 200mm Max Riser 250mm Tread:151086:2,151086
01KzA4SPn5IOODwLEb5RNY,IfcMember,Stair:Residential - 200mm Max Riser 250mm Tread:198878:1,198878
37Fy90kSD2PvviizyM7EKl,IfcMember,Stair:Residential - 200mm Max Riser 250mm Tread:198878:2,198878
1xS3BCk291UvhgP2dvNo1Q,IfcOpeningElement,M_Casement:819mm x 759mm:819mm x 759mm:148607:1,
1xS3BCk291UvhgP2dvNopD,IfcOpeningElement,M_Casement:819mm x 759mm:819mm x 759mm:149736:1,
1xS3BCk291UvhgP2dvNwSd,IfcOpeningElement,M_Casement:819mm x 759mm:819mm x 759mm:180994:1,
1xS3BCk291UvhgP2dvNw49,IfcOpeningElement,M_Casement:819mm x 759mm:819mm x 759mm:181548:1,
1xS3BCk291UvhgP2dvNoJ3,IfcOpeningElement,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:147686:1,
1xS3BCk291UvhgP2dvNoCx,IfcOpeningElement,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:149278:1,
1xS3BCk291UvhgP2dvNwHx,IfcOpeningElement,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:180318:1,
1xS3BCk291UvhgP2dvNwTD,IfcOpeningElement,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:181096:1,
1xS3BCk291UvhgP2dvNrrP,IfcOpeningElement,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:145788:1,
1xS3BCk291UvhgP2dvNrv5,IfcOpeningElement,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:146016:1,
1xS3BCk291UvhgP2dvNrdW,IfcOpeningElement,M_Fixed:750mm x 2200mm:750mm x 2200mm:146885:1,
1xS3BCk291UvhgP2dvNrfE,IfcOpeningElement,M_Fixed:750mm x 2200mm:750mm x 2200mm:147051:1,
1xS3BCk291UvhgP2dvNwAF,IfcOpeningElement,M_Fixed:750mm x 2200mm:750mm x 2200mm:181930:1,
1xS3BCk291UvhgP2dvNwDm,IfcOpeningElement,M_Fixed:750mm x 2200mm:750mm x 2200mm:182101:1,
1xS3BCk291UvhgP2dvNoO$,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:147994:1,
1xS3BCk291UvhgP2dvNo3N,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:148722:1,
1xS3BCk291UvhgP2dvNom4,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:149537:1,
1xS3BCk291UvhgP2dvNos1,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:149924:1,
1xS3BCk291UvhgP2dvNwMI,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:180663:1,
1xS3BCk291UvhgP2dvNwQb,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:180864:1,
1xS3BCk291UvhgP2dvNw00,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:181285:1,
1xS3BCk291UvhgP2dvNw5g,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:181583:1,
1xS3BCk291UvhgP2dvNowu,IfcOpeningElement,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150173:1,
1xS3BCk291UvhgP2dvNoxK,IfcOpeningElement,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150257:1,
1xS3BCk291UvhgP2dvNd$j,IfcOpeningElement,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:203720:1,
1xS3BCk291UvhgP2dvNdad,IfcOpeningElement,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:204034:1,
1xS3BCk291UvhgP2dvNozF,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150378:1,
1xS3BCk291UvhgP2dvNo$h,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150478:1,
1xS3BCk291UvhgP2dvNmlJ,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159734:1,
1xS3BCk291UvhgP2dvNnH$,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834:1,
1xS3BCk291UvhgP2dvNnLa,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065:1,
1xS3BCk291UvhgP2dvNnNr,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208:1,
1xS3BCk291UvhgP2dvNrY1,IfcOpeningElement,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146596:1,
1xS3BCk291UvhgP2dvNrZJ,IfcOpeningElement,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146678:1,
1xS3BCk291UvhgP2dvN$je,IfcOpeningElement,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853:1,
1xS3BCk291UvhgP2dvN$lY,IfcOpeningElement,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171975:1,
3ThA22djr8AQQ9eQMA5s7I,IfcSlab,Basic Roof:Live Roof over Wood Joist Flat Roof:184483,184483
