GlobalId,IfcClass,Name,Tag
0wkEuT1wr1kOyafLY4vyu$,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157200,157200
0wkEuT1wr1kOyafLY4vy_8,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157607,157607
0wkEuT1wr1kOyafLY4vy3H,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157950,157950
0wkEuT1wr1kOyafLY4vy3G,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157951,157951
0wkEuT1wr1kOyafLY4vy4m,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157983,157983
0wkEuT1wr1kOyafLY4vy4F,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157984,157984
0wkEuT1wr1kOyafLY4vy6l,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158080,158080
0wkEuT1wr1kOyafLY4vy6k,IfcFurnishingElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158081,158081
0wkEuT1wr1kOyafLY4vyMO,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159159,159159
0wkEuT1wr1kOyafLY4vyOn,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:159262,159262
2OBrcmyk58NupXoVOHUvGQ,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160671,160671
2OBrcmyk58NupXoVOHUvH8,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:160717,160717
2OBrcmyk58NupXoVOHUv88,IfcFurnishingElement,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165,161165
2OBrcmyk58NupXoVOHUv3h,IfcFurnishingElement,M_Counter Top:600mm Depth:600mm Depth:161646,161646
2OBrcmyk58NupXoVOHUvup,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162230,162230
2OBrcmyk58NupXoVOHUvuo,IfcFurnishingElement,M_Counter Top:600mm Depth:600mm Depth:162231,162231
2OBrcmyk58NupXoVOHUvs2,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162311,162311
2OBrcmyk58NupXoVOHUvsm,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162357,162357
2OBrcmyk58NupXoVOHUvtA,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162383,162383
2OBrcmyk58NupXoVOHUvqp,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162486,162486
2OBrcmyk58NupXoVOHUvqo,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162487,162487
2OBrcmyk58NupXoVOHUvqz,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162488,162488
2OBrcmyk58NupXoVOHUvqy,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162489,162489
2OBrcmyk58NupXoVOHUvq$,IfcFurnishingElement,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490,162490
2OBrcmyk58NupXoVOHUvq_,IfcFurnishingElement,M_Counter Top:600mm Depth:600mm Depth:162491,162491
2OBrcmyk58NupXoVOHUvqu,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162493,162493
2OBrcmyk58NupXoVOHUvqx,IfcFurnishingElement,M_Counter Top:600mm Depth:600mm Depth:162494,162494
2OBrcmyk58NupXoVOHUvqw,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162495,162495
2OBrcmyk58NupXoVOHUvr5,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162496,162496
2OBrcmyk58NupXoVOHUvr4,IfcFurnishingElement,M_Base Cabinet-Double Door & 2 Drawer:1000mm:1000mm:162497,162497
2OBrcmyk58NupXoVOHUshs,IfcFurnishingElement,M_Sofa:1830mm:1830mm:167283,167283
2OBrcmyk58NupXoVOHUsc7,IfcFurnishingElement,M_Sofa:1830mm:1830mm:167426,167426
2OBrcmyk58NupXoVOHUsab,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167584,167584
2OBrcmyk58NupXoVOHUsbY,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:167655,167655
2OBrcmyk58NupXoVOHUtVQ,IfcFurnishingElement,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168031,168031
2OBrcmyk58NupXoVOHUtOy,IfcFurnishingElement,M_Sofa:1830mm:1830mm:168377,168377
2OBrcmyk58NupXoVOHUtO$,IfcFurnishingElement,M_Sofa:1830mm:1830mm:168378,168378
2OBrcmyk58NupXoVOHUtO_,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168379,168379
2OBrcmyk58NupXoVOHUtOv,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:168380,168380
2OBrcmyk58NupXoVOHUtOu,IfcFurnishingElement,M_Table-Coffee:0915 x 1830 x 0457mm:0915 x 1830 x 0457mm:168381,168381
2OBrcmyk58NupXoVOHUtM4,IfcFurnishingElement,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:168449,168449
2OBrcmyk58NupXoVOHUtI8,IfcFurnishingElement,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168717,168717
2OBrcmyk58NupXoVOHUtHN,IfcFurnishingElement,M_Bed-Standard:1981 x 2032mm - King:1981 x 2032mm - King:168914,168914
2OBrcmyk58NupXoVOHUtEr,IfcFurnishingElement,M_Bed-Standard:1525 x 2007mm - Queen:1525 x 2007mm - Queen:169008,169008
0iEHWY1$XA8eQeeULq4j7w,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191401,191401
0iEHWY1$XA8eQeeULq4jOM,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191557,191557
0iEHWY1$XA8eQeeULq4jQJ,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:191680,191680
0iEHWY1$XA8eQeeULq4jTB,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000mm:1000mm:191768,191768
0iEHWY1$XA8eQeeULq4jJA,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192153,192153
0iEHWY1$XA8eQeeULq4jKO,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192331,192331
0iEHWY1$XA8eQeeULq4jMl,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000 mm:1000 mm:192508,192508
0iEHWY1$XA8eQeeULq4ien,IfcFurnishingElement,M_Upper Cabinet-Double Door-Wall:1000mm:1000mm:192610,192610
2gRXFgjRn2HPE$YoDLX0mp,IfcFurnishingElement,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:204934,204934
2gRXFgjRn2HPE$YoDLX0q2,IfcFurnishingElement,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:205239,205239
2gRXFgjRn2HPE$YoDLX0rb,IfcFurnishingElement,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:205264,205264
2gRXFgjRn2HPE$YoDLX0ra,IfcFurnishingElement,M_Vanity Cabinet-Double Door Sink Unit:650 x 450 mm:650 x 450 mm:205265,205265
2gRXFgjRn2HPE$YoDLX0vP,IfcFurnishingElement,M_Vanity Cabinet-Double Door Sink Unit:450 x 450 mm:450 x 450 mm:205548,205548
2kvhekJrnDjRw0CDkKW$UD,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:206283,206283
2kvhekJrnDjRw0CDkKW$JW,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:206502,206502
2kvhekJrnDjRw0CDkKW$KL,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:206675,206675
2kvhekJrnDjRw0CDkKW$fQ,IfcFurnishingElement,M_Table-Coffee:0610 x 0610 x 0610mm:0610 x 0610 x 0610mm:206876,206876
1gtrSK5QnDuxDwygd0EDGO,IfcMember,Stair:Residential - 200mm Max Riser 250mm Tread:151086:1,151086
34qUFGjJzFKwVWpXe2dTPt,IfcMember,Stair:Residential - 200mm Max Riser 250mm Tread:151086:2,151086
01KzA4SPn5IOODwLEb5RNY,IfcMember,Stair:Residential - 200mm Max Riser 250mm Tread:198878:1,198878
37Fy90kSD2PvviizyM7EKl,IfcMember,Stair:Residential - 200mm Max Riser 250mm Tread:198878:2,198878
1xS3BCk291UvhgP2dvNrrP,IfcOpeningElement,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:145788:1,
1xS3BCk291UvhgP2dvNrv5,IfcOpeningElement,M_Fixed:4835mm x 2420mm:4835mm x 2420mm:146016:1,
1xS3BCk291UvhgP2dvNrY1,IfcOpeningElement,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146596:1,
1xS3BCk291UvhgP2dvNrZJ,IfcOpeningElement,M_Single-Flush:1250mm x 2010mm:1250mm x 2010mm:146678:1,
1xS3BCk291UvhgP2dvNrdW,IfcOpeningElement,M_Fixed:750mm x 2200mm:750mm x 2200mm:146885:1,
1xS3BCk291UvhgP2dvNrfE,IfcOpeningElement,M_Fixed:750mm x 2200mm:750mm x 2200mm:147051:1,
1xS3BCk291UvhgP2dvNoJ3,IfcOpeningElement,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:147686:1,
1xS3BCk291UvhgP2dvNoO$,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:147994:1,
1xS3BCk291UvhgP2dvNo1Q,IfcOpeningElement,M_Casement:819mm x 759mm:819mm x 759mm:148607:1,
1xS3BCk291UvhgP2dvNo3N,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:148722:1,
1xS3BCk291UvhgP2dvNoCx,IfcOpeningElement,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:149278:1,
1xS3BCk291UvhgP2dvNom4,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:149537:1,
1xS3BCk291UvhgP2dvNopD,IfcOpeningElement,M_Casement:819mm x 759mm:819mm x 759mm:149736:1,
1xS3BCk291UvhgP2dvNos1,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:149924:1,
1xS3BCk291UvhgP2dvNowu,IfcOpeningElement,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150173:1,
1xS3BCk291UvhgP2dvNoxK,IfcOpeningElement,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:150257:1,
1xS3BCk291UvhgP2dvNozF,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150378:1,
1xS3BCk291UvhgP2dvNo$h,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:150478:1,
1JMZUwOon6WAV1rBBORAVn,IfcOpeningElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157200:1,157200
0st2Ty2kP2i9GWVYN22HBn,IfcOpeningElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157607:1,157607
1ur9wqEhD1fgF0XSBVdztK,IfcOpeningElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157950:1,157950
2fQjX2SrTFrxFKC2cOmyZz,IfcOpeningElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157951:1,157951
3yrt06HiHCHQOnRKTWhuME,IfcOpeningElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157983:1,157983
1dqkh_grrAr8eEicMrPggp,IfcOpeningElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:157984:1,157984
24EFH82h1DgeJVWlc35MMP,IfcOpeningElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158080:1,158080
2YwZmYlr9AiPDZRZmucxc5,IfcOpeningElement,M_Tall Cabinet-Single Door(2):800 mm:800 mm:158081:1,158081
1xS3BCk291UvhgP2dvNmlJ,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159734:1,
1xS3BCk291UvhgP2dvNnH$,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:159834:1,
1xS3BCk291UvhgP2dvNnLa,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160065:1,
1xS3BCk291UvhgP2dvNnNr,IfcOpeningElement,M_Single-Flush:0864 x 2032mm:0864 x 2032mm:160208:1,
1_czKmicP9SRkaew1L5q7Z,IfcOpeningElement,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:161165:1,161165
3obae0iBn5i9Cv4Ub3eEXf,IfcOpeningElement,M_Counter Top w Sink Hole:600mm Depth:600mm Depth:162490:1,162490
1xS3BCk291UvhgP2dvN$je,IfcOpeningElement,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171853:1,
1xS3BCk291UvhgP2dvN$lY,IfcOpeningElement,M_Single-Glass 1:0813 x 2420mm:0813 x 2420mm:171975:1,
1xS3BCk291UvhgP2dvNwHx,IfcOpeningElement,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:180318:1,
1xS3BCk291UvhgP2dvNwMI,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:180663:1,
1xS3BCk291UvhgP2dvNwQb,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:180864:1,
1xS3BCk291UvhgP2dvNwSd,IfcOpeningElement,M_Casement:819mm x 759mm:819mm x 759mm:180994:1,
1xS3BCk291UvhgP2dvNwTD,IfcOpeningElement,M_Fixed:2800mm x 2410mm:2800mm x 2410mm:181096:1,
1xS3BCk291UvhgP2dvNw00,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:181285:1,
1xS3BCk291UvhgP2dvNw49,IfcOpeningElement,M_Casement:819mm x 759mm:819mm x 759mm:181548:1,
1xS3BCk291UvhgP2dvNw5g,IfcOpeningElement,M_Fixed:819mm x 759mm:819mm x 759mm:181583:1,
1xS3BCk291UvhgP2dvNwAF,IfcOpeningElement,M_Fixed:750mm x 2200mm:750mm x 2200mm:181930:1,
1xS3BCk291UvhgP2dvNwDm,IfcOpeningElement,M_Fixed:750mm x 2200mm:750mm x 2200mm:182101:1,
3v9a8BKHj2mvcndWrD6JMo,IfcOpeningElement,Basic Roof:Live Roof over Wood Joist Flat Roof:184483:2,184483
0c3kWfbRLERxKStRVifSpJ,IfcOpeningElement,Basic Roof:Live Roof over Wood Joist Flat Roof:184483:3,184483
1xS3BCk291UvhgP2dvNxVS,IfcOpeningElement,,185337
1xS3BCk291UvhgP2dvNx5J,IfcOpeningElement,,185718
1xS3BCk291UvhgP2dvNd$j,IfcOpeningElement,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:203720:1,
1xS3BCk291UvhgP2dvNdad,IfcOpeningElement,M_Single-Flush:0762 x 2032mm:0762 x 2032mm:204034:1,
0wkEuT1wr1kOyafLY4v_PL,IfcRailing,Railing:900mm Handrail Only:151162,151162
0wkEuT1wr1kOyafLY4v_PH,IfcRailing,Railing:1100mm Guard Rail:151166,151166
21ldoMpbP4VfsJ0XGY_34P,IfcRailing,Railing:900mm Handrail Only:198880,198880
21ldoMpbP4VfsJ0XGY_335,IfcRailing,Railing:1100mm Guard Rail:198972,198972
3ThA22djr8AQQ9eQMA5s7I,IfcSlab,Basic Roof:Live Roof over Wood Joist Flat Roof:184483,184483
1oKjKg9PD3fP1iIwXLh3lK,IfcStairFlight,Stair:Residential - 200mm Max Riser 250mm Tread:151086:1,151086
3KMJUyUe9DfQ2FOCd5ZoiN,IfcStairFlight,Stair:Residential - 200mm Max Riser 250mm Tread:198878:1,198878
