ElementGlobalId,IfcClass,ElementName,PropertySet,PropertyName,DataType
2OrWItJ6zAwBNp0OUxK_l8,IfcBeam,M_W-Wide Flange:W310X60:W310X60:207325,PSet_Revit_Type_Identity Data,Assembly Code,str
2OrWItJ6zAwBNp0OUxK$8W,IfcBeam,M_W-Wide Flange:W410X60:W410X60:208949,PSet_Revit_Type_Identity Data,Assembly Code,str
2OrWItJ6zAwBNp0OUxK$Bq,IfcBeam,M_W-Wide Flange:W410X60:W410X60:209121,PSet_Revit_Type_Identity Data,Assembly Code,str
2OrWItJ6zAwBNp0OUxK$CR,IfcBeam,M_W-Wide Flange:W410X60:W410X60:209166,PSet_Revit_Type_Identity Data,Assembly Code,str
2OrWItJ6zAwBNp0OUxK$Dv,IfcBeam,M_W-Wide Flange:W310X60:W310X60:209260,PSet_Revit_Type_Identity Data,Assembly Code,str
2OrWItJ6zAwBNp0OUxK$Du,IfcBeam,M_W-Wide Flange:W410X60:W410X60:209261,PSet_Revit_Type_Identity Data,Assembly Code,str
2OrWItJ6zAwBNp0OUxK$Dx,IfcBeam,M_W-Wide Flange:W410X60:W410X60:209262,PSet_Revit_Type_Identity Data,Assembly Code,str
2OrWItJ6zAwBNp0OUxK$Dw,IfcBeam,M_W-Wide Flange:W410X60:W410X60:209263,PSet_Revit_Type_Identity Data,Assembly Code,str
2OrWItJ6zAwBNp0OUxK_l8,IfcBeam,M_W-Wide Flange:W310X60:W310X60:207325,PSet_Revit_Type_Identity Data,Assembly Description,str
2OrWItJ6zAwBNp0OUxK$8W,IfcBeam,M_W-Wide Flange:W410X60:W410X60:208949,PSet_Revit_Type_Identity Data,Assembly Description,str
2OrWItJ6zAwBNp0OUxK$Bq,IfcBeam,M_W-Wide Flange:W410X60:W410X60:209121,PSet_Revit_Type_Identity Data,Assembly Description,str
2OrWItJ6zAwBNp0OUxK$CR,IfcBeam,M_W-Wide Flange:W410X60:W410X60:209166,PSet_Revit_Type_Identity Data,Assembly Description,str
2OrWItJ6zAwBNp0OUxK$Dv,IfcBeam,M_W-Wide Flange:W310X60:W310X60:209260,PSet_Revit_Type_Identity Data,Assembly Description,str
2OrWItJ6zAwBNp0OUxK$Du,IfcBeam,M_W-Wide Flange:W410X60:W410X60:209261,PSet_Revit_Type_Identity Data,Assembly Description,str
