GlobalId,IfcClass,Name,Tag
0rcx3NRlHCjxDJbhLB_yA3,IfcEnergyConversionDevice,M_Air Handling Unit - Split System - Horizontal:63300000 J:63300000 J:621849,621849
3eI1mbah1DKxvkhQWIGlDu,IfcEnergyConversionDevice,M_Air Handling Unit - Split System - Horizontal:63300000 J:63300000 J:630076,630076
1Hk4$wKjPFLAM7$8qJgCUa,IfcEnergyConversionDevice,M_Screw Chiller - Air Cooled - 281-1231 kW:633-703 kW:633-703 kW:725669,725669
1nnMo_AKzCgPoNKZdxVAD0,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:720019,720019
0J3q8r36T0QQtYHes8eE2l,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:710899,710899
37ERv$vjXCjPUDTL4UUcHs,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630300,630300
3E$HCkw6f2dvZkvEJvb0FE,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:712077,712077
2eGk8b7S9EYgiKcuDXjVEb,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593948,593948
37ERv$vjXCjPUDTL4UUcU5,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630255,630255
2eGk8b7S9EYgiKcuDXjVFr,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593996,593996
3GwfSEHKz9oQo6IxbdcAsH,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:641138,641138
37ERv$vjXCjPUDTL4UUcHh,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630273,630273
37ERv$vjXCjPUDTL4UUcHW,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630282,630282
2qwqb_HL9EKO1kbOFaSgFn,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:577829,577829
17feEoBzz3lPZ8E5f8e9GD,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:710675,710675
0J3q8r36T0QQtYHes8eE9b,IfcFlowController,M_VAV Unit - Single Duct:250 mm:250 mm:711225,711225
37ERv$vjXCjPUDTL4UUcUI,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630264,630264
270CRfYljClP3lAwmpBQku,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:613255,613255
37ERv$vjXCjPUDTL4UUcUt,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630237,630237
11fFDzf5T9R8MY5BgdZxYG,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:712372,712372
2JWVbDSvH5NPljwtB7V5Rr,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:640079,640079
0Uk_0$329EPPWa7jxMy3lJ,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:610225,610225
2eGk8b7S9EYgiKcuDXjVEE,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593975,593975
3FD25pQh93iwhuv3DUYieu,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:588915,588915
