ElementGlobalId,IfcClass,ElementName,PropertySet,PropertyName,DataType
0rcx3NRlHCjxDJbhLB_yA3,IfcEnergyConversionDevice,M_Air Handling Unit - Split System - Horizontal:63300000 J:63300000 J:621849,Electrical - Loads,Circuit Number,str
3eI1mbah1DKxvkhQWIGlDu,IfcEnergyConversionDevice,M_Air Handling Unit - Split System - Horizontal:63300000 J:63300000 J:630076,Electrical - Loads,Circuit Number,str
1Hk4$wKjPFLAM7$8qJgCUa,IfcEnergyConversionDevice,M_Screw Chiller - Air Cooled - 281-1231 kW:633-703 kW:633-703 kW:725669,Electrical - Loads,Circuit Number,str
0rcx3NRlHCjxDJbhLB_yA3,IfcEnergyConversionDevice,M_Air Handling Unit - Split System - Horizontal:63300000 J:63300000 J:621849,Electrical - Loads,Panel,str
3eI1mbah1DKxvkhQWIGlDu,IfcEnergyConversionDevice,M_Air Handling Unit - Split System - Horizontal:63300000 J:63300000 J:630076,Electrical - Loads,Panel,str
1Hk4$wKjPFLAM7$8qJgCUa,IfcEnergyConversionDevice,M_Screw Chiller - Air Cooled - 281-1231 kW:633-703 kW:633-703 kW:725669,Electrical - Loads,Panel,str
1nnMo_AKzCgPoNKZdxVAD0,IfcFlowController,M_VAV Unit - Single Duct:200 mm:200 mm:720019,Identity Data,Assembly Code,str
0J3q8r36T0QQtYHes8eE2l,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:710899,Identity Data,Assembly Code,str
37ERv$vjXCjPUDTL4UUcHs,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630300,Identity Data,Assembly Code,str
3E$HCkw6f2dvZkvEJvb0FE,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:712077,Identity Data,Assembly Code,str
2eGk8b7S9EYgiKcuDXjVEb,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593948,Identity Data,Assembly Code,str
37ERv$vjXCjPUDTL4UUcU5,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630255,Identity Data,Assembly Code,str
2eGk8b7S9EYgiKcuDXjVFr,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:593996,Identity Data,Assembly Code,str
3GwfSEHKz9oQo6IxbdcAsH,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:641138,Identity Data,Assembly Code,str
37ERv$vjXCjPUDTL4UUcHh,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630273,Identity Data,Assembly Code,str
37ERv$vjXCjPUDTL4UUcHW,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630282,Identity Data,Assembly Code,str
2qwqb_HL9EKO1kbOFaSgFn,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:577829,Identity Data,Assembly Code,str
17feEoBzz3lPZ8E5f8e9GD,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:710675,Identity Data,Assembly Code,str
37ERv$vjXCjPUDTL4UUcUI,IfcFlowController,M_VAV Unit - Single Duct:150 mm:150 mm:630264,Identity Data,Assembly Code,str
