GlobalId,IfcClass,Name,Tag
31Wi8h84rAFhbjNsr8zAbg,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:585326,585326
31Wi8h84rAFhbjNsr8zAbo,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:585334,585334
26A3asOO536v6t$peFDNpZ,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:591017,591017
2mEJjBcIX1YQdA7f2wXhSE,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:603451,603451
2mEJjBcIX1YQdA7f2wXhTs,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:603459,603459
2mEJjBcIX1YQdA7f2wXhT_,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:603467,603467
2mEJjBcIX1YQdA7f2wXhTc,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:603475,603475
1NAlaKy5fFXeFbPxNNJe2s,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:603760,603760
1NAlaKy5fFXeFbPxNNJe2_,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:603768,603768
1NAlaKy5fFXeFbPxNNJe16,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:603776,603776
1pT7e75LjAgh6lOpeitwWk,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:634439,634439
1pT7e75LjAgh6lOpeitwWw,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:634451,634451
1pT7e75LjAgh6lOpeitwWo,IfcFlowTerminal,M_Exhaust Grill:ER-600 x 600 Face 300 x 300 Connection:ER-600 x 600 Face 300 x 300 Connection:634459,634459
